No,Name,State,Code,Lat,Lon
66,Universiti Teknologi MARA Cawangan Terengganu Kampus Kuala Terengganu (Cendering),Terengganu,,,
67,Universiti Tun Hussein Onn Malaysia (UTHM) (Previously known as : Kolej Universiti Teknologi Tun Hussein Onn (KUITTHO)),Johor,,,
68,Universiti Tun Hussein Onn Malaysia (UTHM),Johor,,,
69,Universiti Utara Malaysia (UUM),Kedah,,,
70,University of Malaya,Wilayah Persekutuan Kuala Lumpur,14,3.121129569,101.6538414
71,Politeknik Bagan Datuk,Perak,,,
72,Politeknik Balik Pulau,Penang,,,
73,Politeknik Banting Selangor,Selangor,10,2.826114432,101.4637921
74,Politeknik Besut Terengganu,Terengganu,,,
75,Politeknik Hulu Terengganu,Terengganu,,,
76,Politeknik Ibrahim Sultan,Johor,,,
77,Politeknik Jeli Kelantan,Kelantan,,,
78,Politeknik Kota Bharu,Kelantan,,,
79,Politeknik Kota Kinabalu,Sabah,,,
80,Kuala Terengganu Polytechnic,Terengganu,,,
81,Kuching Polytechnic Sarawak,Sarawak,,,
82,Politeknik Melaka,Malacca,,,
83,Politeknik Merlimau Melaka,Malacca,,,
84,Politeknik Mersing Johor,Johor,,,
85,METrO Betong Sarawak Polytechnic,Sarawak,,,
86,Politeknik METrO Johor Bahru,Johor,,,
87,METrO Kuala Lumpur Polytechnic,Wilayah Persekutuan Kuala Lumpur,14,3.178330068,101.7419994
88,Politeknik METrO Kuantan,Pahang,,,
89,Politeknik METrO Tasek Gelugor,Penang,,,
90,Politeknik Muadzam Shah,Pahang,,,
91,Politeknik Mukah (Sarawak),Sarawak,,,
92,Nilai Polytechnic,Negeri Sembilan,,,
93,Politeknik Port Dickson,Negeri Sembilan,,,
94,Politeknik Sandakan Sabah,Sabah,,,
95,Seberang Perai Polytechnic,Penang,,,
96,Sultan Abdul Halim Mu'adzam Shah Polytechnic,Kedah,,,
97,Sultan Azlan Shah Polytechnic,Perak,,,
98,Sultan Haji Ahmad Shah Polytechnic,Pahang,,,
99,Politeknik Sultan Idris Shah,Selangor,10,3.811469399,100.819205
100,Politeknik Sultan Mizan Zainal Abidin,Terengganu,,,
101,Politeknik Sultan Salahuddin Abdul Aziz Shah,Selangor,10,3.085571817,101.5548364
102,Politeknik Tawau Sabah,Sabah,,,
103,Politeknik Tuanku Sultanah Bahiyah,Kedah,,,
104,Politeknik Tuanku Syed Sirajuddin,Perlis,,,
105,Tun Syed Nasir Syed Ismail Polytechnic,Johor,,,
106,Ungku Omar Polytechnic,Perak,,,
107,The Academy of Family Physicians of Malaysia,Wilayah Persekutuan Kuala Lumpur,14,3.047982446,101.6866242
108,Akademi Perikanan Malaysia (APM),Terengganu,,,
109,National Academy of Arts Culture and Heritage,Wilayah Persekutuan Kuala Lumpur,14,3.1536715,101.6885082
110,"Darul Quran, Jabatan Kemajuan Islam Malaysia (JAKIM)",Selangor,10,3.542086023,101.6645769
111,Institut Kemahiran Belia Negara Temerloh,Pahang,,,
112,Institut Kemahiran Islam Malaysia Sarawak (IKMAS),Sarawak,,,
113,Institut Kemahiran MARA Alor Setar,Kedah,,,
114,Institut Kemahiran MARA Beseri,Perlis,,,
115,Institut Kemahiran MARA Besut,Terengganu,,,
116,Institut Kemahiran MARA Bintulu,Sarawak,,,
117,Institut Kemahiran MARA Jasin,Malacca,,,
118,Institut Kemahiran MARA Johor Bahru,Johor,,,
119,Institut Kemahiran MARA Kota Kinabalu,Sabah,,,
120,Institut Kemahiran MARA Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,14,3.143381053,101.7335538
121,Institut Kemahiran MARA Kuching,Sarawak,,,
122,Institut Kemahiran MARA Lumut,Perak,,,
123,Institut Kemahiran MARA Sik,Kedah,,,
124,Institut Kemahiran MARA Sungai Petani,Kedah,,,
125,"Institut Kemahiran MARA Tan Sri Yahaya Ahmad, Pekan",Pahang,,,
126,PERDA Advanced Technical Institute (PERDA-TECH),Penang,,,
127,National Craft Institute,Selangor,10,3.291704065,101.6347038
128,"Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Alor Setar, Kedah (Previously known as : Kolej Kejururawatan Alor Setar)",Kedah,,,
129,"Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Georgetown, Pulau Pinang (Previously known as : Kolej Kejururawatan Pulau Pinang)",Penang,,,
130,"Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Kuala Terengganu, Terengganu (Previously known as : Kolej Kejururawatan Kuala Terengganu)",Terengganu,,,
131,"Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Kuantan, Pahang (Previously known as : Kolej Kejururawatan Kuantan)",Pahang,,,
132,"Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Kubang Kerian, Kelantan (Previously known as : Kolej Kejururawatan Kubang Kerian)",Kelantan,,,
133,Institut Latihan Kementerian Kesihatan Malaysia (Kejururawatan) Melaka (Previously known as : Kolej Kejururawatan Melaka),Malacca,,,
134,"Institut Latihan Kementerian Kesihatan Malaysia (Pembantu Perubatan) Alor Setar, Kedah",Kedah,,,
135,"Institut Latihan Kementerian Kesihatan Malaysia (Pembantu Perubatan) Seremban, Negeri Sembilan",Negeri Sembilan,,,
136,Ministry of Health Training Institute (Medical Laboratory Technology) Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,14,3.170175171,101.6985582
137,"Institut Latihan Kementerian Kesihatan Malaysia Johor Bahru, Johor (Previously known as : Kolej Sains Kesihatan Bersekutu Johor Bahru)",Johor,,,
138,"Institut Latihan Kementerian Kesihatan Malaysia Kota Kinabalu, Sabah (Previously known as : Kolej Sains Kesihatan Bersekutu Kota Kinabalu)",Sabah,,,
139,"Institut Latihan Kementerian Kesihatan Malaysia Kuching, Sarawak (Previously known as : Kolej Sains Kesihatan Bersekutu Kuching)",Sarawak,,,
140,"Institut Latihan Kementerian Kesihatan Malaysia Sultan Azlan Shah Ipoh, Perak (Previously known as : Kolej Sains Kesihatan Bersekutu Sultan Azlan Shah)",Perak,,,
141,"Institut Latihan Kementerian Kesihatan Malaysia Sungai Buloh, Selangor (Previously known as : Kolej Sains Kesihatan Bersekutu Sungai Buloh)",Selangor,10,3.221210595,101.5864626
142,Armed Forces Health Training Institute,Malacca,,,
143,Industrial Training Institute Kota Bharu (ITI Kota Bharu),Kelantan,,,
144,Institut Latihan Perindustrian Kuala Terengganu (ILP Kuala Terengganu),Terengganu,,,
145,Institut Pendidikan Guru (IPG) (Kampus Bahasa Melayu),Wilayah Persekutuan Kuala Lumpur,14,3.122105943,101.6631879
